model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db,wiener_ema_db,wiener_param_db,wiener_psd_db,wiener_genie_db
cdl_c,300.0,10.0,10,1.018813552337623,1,-13.02063063598236,-1.4661230625186596,-20.540279134318745,-11.505041527525888,-11.452416109678754,-10.876538508991997,-12.506925594109745
cdl_c,300.0,10.0,10,1.018813552337623,2,-8.532740095120449,3.544532747036617,-20.540279134318745,-8.678152692662163,-8.054186840990445,-7.778336855954812,-9.88297286889144
cdl_c,300.0,10.0,10,1.018813552337623,3,-5.781845459992699,5.434570588288013,-20.540279134318745,-7.096417440830805,-5.8208723958711515,-5.760551869445234,-7.939821268177203
cdl_c,300.0,10.0,10,1.018813552337623,4,-3.905071662261909,5.519490196305723,-20.540279134318745,-5.78246475128355,-4.228139733775769,-4.2979862468063015,-6.44229172503421
cdl_c,300.0,10.0,10,1.018813552337623,6,-1.385510787249703,1.426173482710342,-20.540279134318745,-3.650377765767387,-2.1367895065526903,-2.4114629442844566,-4.320212176874829
cdl_c,300.0,10.0,10,1.018813552337623,8,0.3883727906059793,1.4432471339048802,-20.540279134318745,-2.2825248632343302,-0.9017344695956848,-1.3949585089691703,-2.9681777155241402
cdl_c,300.0,10.0,10,1.018813552337623,12,2.4299725264250034,2.2365814349624995,-20.540279134318745,-1.0236068756746048,0.21355623438391058,-0.7806307928095271,-1.660793980785976
cdl_c,300.0,10.0,10,1.018813552337623,16,3.2058303083599915,4.443408053575392,-20.540279134318745,-0.7593272798184357,0.44007769788144324,-0.754620060674632,-1.3781973698441927
cdl_c,300.0,10.0,40,4.075254209350492,1,-0.04774985312167867,5.455288025722243,-17.94562825864127,4.653764389857759,-3.4102186972765174,-6.4811491854294,-8.090841595949538
cdl_c,300.0,10.0,40,4.075254209350492,2,1.2116848987977473,1.2331995353523058,-17.94562825864127,7.321232454067951,-0.5286712517182635,-3.096463988086695,-4.366091563449694
cdl_c,300.0,10.0,40,4.075254209350492,3,2.0522067791429386,2.2571048144701713,-17.94562825864127,6.244391217346257,0.47111296702764716,-1.9868834223751428,-2.872051972466196
cdl_c,300.0,10.0,40,4.075254209350492,4,2.519949552577207,4.211042772820227,-17.94562825864127,-1.4706152621208743,0.6685862836001216,-1.8544158231789316,-2.506791825064255
cdl_c,300.0,10.0,40,4.075254209350492,6,3.0801881466895864,2.6536906512685885,-17.94562825864127,-1.5121845377284364,0.6003267858711491,-1.4440038807274913,-2.165240125535732
cdl_c,300.0,10.0,40,4.075254209350492,8,3.156447296141197,1.6184741401918332,-17.94562825864127,-1.4483189229343776,0.3995235732888685,-1.3780069089092672,-2.030831698349815
cdl_c,300.0,10.0,40,4.075254209350492,12,3.0336149289997145,3.9073590993769285,-17.94562825864127,-1.394527519920061,0.25980970491997984,-1.2453572151095629,-1.9916675621490574
cdl_c,300.0,10.0,40,4.075254209350492,16,3.071543070834905,2.855663811012181,-17.94562825864127,-1.0371245697330087,0.1399567246746551,-0.9105419632135943,-1.6943568088693866
cdl_c,300.0,30.0,10,3.0564406570128693,1,-5.20697393335592,5.479618900669445,-18.56897083082949,-6.152674774637887,-5.657276114473805,-7.83927605275013,-9.823231530143229
cdl_c,300.0,30.0,10,3.0564406570128693,2,-1.3332183043375487,1.13440528015506,-18.56897083082949,-2.863904436231973,-2.3569104014473607,-4.251705745030117,-5.762588586405198
cdl_c,300.0,30.0,10,3.0564406570128693,3,0.8538667247414861,3.3362684362795374,-18.56897083082949,-0.8668863542781857,-0.8551298856297993,-2.295582737803418,-3.348143268612187
cdl_c,300.0,30.0,10,3.0564406570128693,4,2.1350260877706804,2.6103064696076013,-18.56897083082949,4.02758016282535,-0.23954993702318017,-1.3758481710848054,-2.136705524595977
cdl_c,300.0,30.0,10,3.0564406570128693,6,3.2307002679466112,2.491477356534078,-18.56897083082949,2.0781014109450844,-0.049502613959237995,-1.1890198997554016,-1.7987124816911941
cdl_c,300.0,30.0,10,3.0564406570128693,8,3.326399091381677,2.924260834271184,-18.56897083082949,-0.40564912288926447,0.0336377847806446,-1.1278484487731635,-1.7685643382820242
cdl_c,300.0,30.0,10,3.0564406570128693,12,3.0677512891664485,3.573395075887161,-18.56897083082949,-0.9259253956621798,0.12101322368938759,-0.8362060682169309,-1.4482071571980488
cdl_c,300.0,30.0,10,3.0564406570128693,16,3.0270655203373242,3.1489433664752573,-18.56897083082949,-0.657596955032163,0.11293496198690896,-0.6196410603322166,-1.1759788435021705
