model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db
cdl_c,300.0,10,10,1.018813552337623,1,-13.062167100906326,-1.6537824474183909,-20.547206654896478
cdl_c,300.0,10,10,1.018813552337623,2,-8.567807043438972,3.3895542490813497,-20.547206654896478
cdl_c,300.0,10,10,1.018813552337623,4,-3.9202542051717866,5.562167113019282,-20.547206654896478
cdl_c,300.0,10,10,1.018813552337623,8,0.39158529290983113,1.075479724236263,-20.547206654896478
cdl_c,300.0,10,10,1.018813552337623,16,3.3805047949963156,4.152842223130397,-20.547206654896478
cdl_c,300.0,10,10,1.018813552337623,32,2.6987058077664186,2.0291021152958617,-20.547206654896478
cdl_c,300.0,10,40,4.075254209350492,1,-0.3617009620825134,5.490666704443346,-17.901352634372138
cdl_c,300.0,10,40,4.075254209350492,2,1.0893270360734524,1.0824996707280987,-17.901352634372138
cdl_c,300.0,10,40,4.075254209350492,4,2.193607497930155,4.2912913440999345,-17.901352634372138
cdl_c,300.0,10,40,4.075254209350492,8,3.1346992212439484,1.8061575915256325,-17.901352634372138
cdl_c,300.0,10,40,4.075254209350492,16,3.137898192808111,3.50904197048771,-17.901352634372138
cdl_c,300.0,10,40,4.075254209350492,32,2.9928515709022188,2.491699765404864,-17.901352634372138
cdl_c,300.0,10,80,8.150508418700984,1,0.3404126299743243,1.8094321234855106,-18.598636423348097
cdl_c,300.0,10,80,8.150508418700984,2,2.32284404255353,4.574880111830945,-18.598636423348097
cdl_c,300.0,10,80,8.150508418700984,4,2.765845657028079,1.432979496602782,-18.598636423348097
cdl_c,300.0,10,80,8.150508418700984,8,3.0991557935618963,2.728796942218189,-18.598636423348097
cdl_c,300.0,10,80,8.150508418700984,16,3.006298631708257,2.925664621545383,-18.598636423348097
cdl_c,300.0,10,80,8.150508418700984,32,2.8567320657576154,2.89561626983688,-18.598636423348097
cdl_c,300.0,30,10,3.0564406570128693,1,-4.269968421849603,5.421221218486391,-18.489235424329195
cdl_c,300.0,30,10,3.0564406570128693,2,-0.37162253213633445,1.4131325781917243,-18.489235424329195
cdl_c,300.0,30,10,3.0564406570128693,4,2.709473792448957,2.1312281798988817,-18.489235424329195
cdl_c,300.0,30,10,3.0564406570128693,8,3.4958973200556294,2.447114344636452,-18.489235424329195
cdl_c,300.0,30,10,3.0564406570128693,16,2.9827896398270903,3.9325725902999813,-18.489235424329195
cdl_c,300.0,30,10,3.0564406570128693,32,2.9251078248299267,3.615386270112622,-18.489235424329195
cdl_c,300.0,30,40,12.225762628051477,1,1.982882487906529,2.3971615898882437,-18.188360996144176
cdl_c,300.0,30,40,12.225762628051477,2,2.262979542361448,2.781689986458474,-18.188360996144176
cdl_c,300.0,30,40,12.225762628051477,4,2.676950963137907,3.6478687099908957,-18.188360996144176
cdl_c,300.0,30,40,12.225762628051477,8,2.666630140081544,3.084919798488251,-18.188360996144176
cdl_c,300.0,30,40,12.225762628051477,16,2.8341067185629774,2.266062071310895,-18.188360996144176
cdl_c,300.0,30,40,12.225762628051477,32,2.9827648896903725,2.5095815056123922,-18.188360996144176
cdl_c,300.0,30,80,24.451525256102954,1,2.075915095742183,3.0143105622875837,-18.178524109384913
