model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db,wiener_ema_db,wiener_param_db,wiener_psd_db,wiener_genie_db
cdl_c,300.0,10.0,10,1.018813552337623,1,-13.02063063598236,-1.4661230625186596,-20.540279134318745,-11.505041527525888,-11.452416109678754,-10.950292447278489,-12.506925594109745
cdl_c,300.0,10.0,10,1.018813552337623,2,-8.532740095120449,3.544532747036617,-20.540279134318745,-8.678152692662163,-8.054186840990445,-7.860277865248747,-9.88297286889144
cdl_c,300.0,10.0,10,1.018813552337623,4,-3.905071662261909,5.519490196305723,-20.540279134318745,-5.78246475128355,-4.228139733775769,-4.367396584296816,-6.44229172503421
cdl_c,300.0,10.0,10,1.018813552337623,8,0.3883727906059793,1.4432471339048802,-20.540279134318745,-2.2825248632343302,-0.9017344695956848,-1.4242114897702651,-2.9681777155241402
cdl_c,300.0,10.0,40,4.075254209350492,1,-0.04774985312167867,5.455288025722243,-17.94562825864127,4.653764389857759,-3.4102186972765174,-6.159185796666295,-8.090841595949538
cdl_c,300.0,10.0,40,4.075254209350492,2,1.2116848987977473,1.2331995353523058,-17.94562825864127,7.321232454067951,-0.5286712517182635,-2.9050901455845275,-4.366091563449694
cdl_c,300.0,10.0,40,4.075254209350492,4,2.519949552577207,4.211042772820227,-17.94562825864127,-1.4706152621208743,0.6685862836001216,-1.802603410532645,-2.506791825064255
cdl_c,300.0,10.0,40,4.075254209350492,8,3.156447296141197,1.6184741401918332,-17.94562825864127,-1.4483189229343776,0.3995235732888685,-1.2839272214437416,-2.030831698349815
cdl_c,300.0,30.0,10,3.0564406570128693,1,-5.20697393335592,5.479618900669445,-18.56897083082949,-6.152674774637887,-5.657276114473805,-7.529303783473517,-9.823231530143229
cdl_c,300.0,30.0,10,3.0564406570128693,2,-1.3332183043375487,1.13440528015506,-18.56897083082949,-2.863904436231973,-2.3569104014473607,-4.040532651013918,-5.762588586405198
cdl_c,300.0,30.0,10,3.0564406570128693,4,2.1350260877706804,2.6103064696076013,-18.56897083082949,4.02758016282535,-0.23954993702318017,-1.3111773148696602,-2.136705524595977
cdl_c,300.0,30.0,10,3.0564406570128693,8,3.326399091381677,2.924260834271184,-18.56897083082949,-0.40564912288926447,0.0336377847806446,-1.0389132702375257,-1.7685643382820242
cdl_c,300.0,30.0,40,12.225762628051477,1,1.5326343189622742,2.4702360772401697,-18.36340871806763,11.070277236636167,-0.17776819250756076,-2.239101305944148,-2.8610327457169222
cdl_c,300.0,30.0,40,12.225762628051477,2,2.1959193952051788,3.2844234889865023,-18.36340871806763,13.226203260021222,0.3132015916903477,-2.0336293456984,-2.6775487211230358
cdl_c,300.0,30.0,40,12.225762628051477,4,2.8381043175697696,3.265586805679982,-18.36340871806763,11.042832426981562,0.38513951221338816,-1.5507114524715084,-2.1785587894465728
cdl_c,300.0,30.0,40,12.225762628051477,8,2.87762415416533,3.035426461442065,-18.36340871806763,4.394615566905731,0.2633625810160471,-1.4664431379455232,-2.3128997215281073
cdl_c,300.0,60.0,10,6.1128813140257385,1,-1.5935151768956368,1.5382901904632063,-19.078365178166294,4.537263515923325,-1.70511673339711,-4.9097853340445035,-6.575576161244355
cdl_c,300.0,60.0,10,6.1128813140257385,2,2.0749641246330186,2.295301258119893,-19.078365178166294,4.346843206267917,0.4814428438386728,-2.215058714374789,-3.13842343723874
cdl_c,300.0,60.0,10,6.1128813140257385,4,2.9960701586893235,3.1587206536593015,-19.078365178166294,4.466895712200504,0.5697059173160496,-1.9733207292595418,-2.7990263925832104
cdl_c,300.0,60.0,10,6.1128813140257385,8,2.8408632117164414,3.210810662538517,-19.078365178166294,5.080682563914958,0.2650606112357478,-1.2984062147407325,-2.169977825369308
cdl_c,300.0,60.0,40,24.451525256102954,1,1.8096065990195878,2.8708687819807355,-18.25969039941703,4.211317235620337,0.016331016453314903,-2.6716628050359907,-3.5049738323938247
cdl_c,300.0,60.0,40,24.451525256102954,2,2.4132621888129377,3.5075649881229283,-18.25969039941703,4.602681876340386,0.22546666863828418,-2.4037861807632983,-3.188292765024131
cdl_c,300.0,60.0,40,24.451525256102954,4,2.7159107615350617,3.3552547207997154,-18.25969039941703,3.1567723286661464,0.5103055808508455,-1.5762820819869217,-2.2779937366676952
